vxv100k;vxv200k;vxv300k;vxv400k;vxv500k;mxv1k;mxv2k;mxv3k;mxv4k;mxv5k
0.000152;0.000280;0.000458;0.000868;0.001610;0.001642;0.005221;0.011041;0.019532;0.030861;
0.000121;0.000257;0.000482;0.000522;0.000670;0.001189;0.004794;0.011031;0.020044;0.031788;
0.000113;0.000249;0.000408;0.000614;0.000721;0.001277;0.004876;0.012098;0.020240;0.030793;
0.000116;0.000252;0.000402;0.000542;0.000908;0.001338;0.004719;0.011194;0.022541;0.034030;
0.000145;0.000302;0.000411;0.000561;0.000762;0.001300;0.005197;0.012069;0.021753;0.032402;
0.000115;0.000263;0.000552;0.000669;0.000691;0.001284;0.006298;0.012554;0.020456;0.032268;
0.000135;0.000255;0.000392;0.000530;0.000754;0.001289;0.005061;0.011680;0.020063;0.031386;
0.000131;0.000258;0.000418;0.000562;0.001117;0.002320;0.005123;0.011210;0.023938;0.031436;
0.000123;0.000252;0.000398;0.000548;0.001994;0.001372;0.005178;0.011471;0.026022;0.031459;
0.000121;0.000265;0.000431;0.000724;0.000951;0.001454;0.006034;0.014443;0.021549;0.030629;
