naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500;tryb
0.010280;0.045578;0.174791;0.392963;0.918212;0.004700;0.037142;0.126109;0.297775;0.594719;0.000748;0.006323;0.021328;0.052312;0.103543;1
0.004996;0.043024;0.157769;0.388781;0.918123;0.005054;0.038892;0.124603;0.296872;0.585831;0.000732;0.006251;0.021567;0.050773;0.101344;1
0.004912;0.044454;0.157418;0.390834;0.900695;0.005218;0.039159;0.126036;0.298894;0.587875;0.000734;0.006516;0.021537;0.051694;0.107156;1
0.004682;0.042925;0.156485;0.395152;0.918871;0.004678;0.036910;0.124313;0.298489;0.580344;0.000739;0.006511;0.021599;0.051056;0.104433;1
0.004730;0.041787;0.161371;0.401884;0.911875;0.004689;0.037506;0.126470;0.295967;0.584149;0.000777;0.006302;0.021468;0.051367;0.105425;1
0.004694;0.042055;0.157910;0.385532;0.914145;0.004756;0.037554;0.126755;0.298315;0.582774;0.000740;0.006434;0.021290;0.052047;0.104353;1
0.004774;0.042696;0.163576;0.371920;0.865621;0.004780;0.037548;0.127736;0.296838;0.580937;0.000742;0.006298;0.022238;0.051516;0.105558;1
0.004703;0.042523;0.158710;0.384723;0.869356;0.004615;0.037186;0.124960;0.297385;0.585124;0.000734;0.006306;0.021475;0.051371;0.103682;1
0.004686;0.042004;0.158685;0.379049;0.908453;0.004717;0.037023;0.124234;0.296096;0.585393;0.000733;0.006314;0.021242;0.051600;0.103103;1
0.004649;0.042232;0.158609;0.387856;0.912638;0.004754;0.037104;0.127708;0.296377;0.582413;0.000734;0.006413;0.021267;0.052083;0.105875;1
0.002985;0.016359;0.070132;0.221917;0.416160;0.000793;0.006036;0.020340;0.048425;0.095200;0.000749;0.006240;0.022085;0.050255;0.105100;2
0.001208;0.011692;0.069331;0.203071;0.419400;0.000779;0.006028;0.020409;0.049649;0.094978;0.000741;0.006205;0.021509;0.050327;0.105491;2
0.001222;0.011559;0.068445;0.204953;0.419112;0.000841;0.006583;0.020798;0.049935;0.095414;0.000757;0.006400;0.021518;0.050939;0.105090;2
0.001221;0.011753;0.068448;0.203208;0.454639;0.001788;0.013032;0.044925;0.065528;0.096409;0.000733;0.006262;0.021316;0.050279;0.106327;2
0.001210;0.011606;0.068509;0.205718;0.415300;0.000781;0.006110;0.020341;0.048267;0.095241;0.000732;0.006455;0.022391;0.050721;0.104683;2
0.001245;0.011890;0.068554;0.205809;0.419191;0.000784;0.006166;0.020253;0.048396;0.096366;0.000779;0.006296;0.021377;0.050384;0.107137;2
0.001208;0.011824;0.069065;0.205122;0.417966;0.000779;0.006113;0.020433;0.048204;0.094850;0.000732;0.006458;0.021159;0.050505;0.105905;2
0.001205;0.011971;0.069617;0.204337;0.429003;0.000960;0.006229;0.021516;0.051205;0.115719;0.000864;0.007319;0.022610;0.054148;0.141356;2
0.002337;0.021846;0.087713;0.207415;0.454358;0.000779;0.006045;0.020390;0.048396;0.100018;0.001082;0.006830;0.021825;0.050124;0.102671;2
0.001201;0.011640;0.068148;0.204539;0.415084;0.000846;0.006181;0.020539;0.048840;0.096197;0.000733;0.006220;0.021293;0.050574;0.111333;2
