naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500
0.006554;0.049226;0.126055;0.293844;0.600215;0.004660;0.059867;0.140353;0.327196;0.629855;0.000744;0.006282;0.021760;0.053105;0.102648
0.004671;0.038688;0.127381;0.293281;0.580099;0.004762;0.037532;0.125671;0.296581;0.586737;0.000801;0.006611;0.022747;0.051832;0.109786
0.004629;0.037324;0.126493;0.307908;0.640319;0.004672;0.043219;0.147368;0.359769;0.787530;0.001954;0.010518;0.027932;0.097359;0.210871
0.005143;0.053126;0.153393;0.318974;0.620704;0.004839;0.038549;0.133692;0.369598;1.000271;0.001540;0.011879;0.046130;0.102998;0.223195
0.010061;0.061681;0.194249;0.486400;0.998762;0.006694;0.053038;0.173167;0.549996;0.843898;0.000969;0.007188;0.038604;0.080351;0.189673
0.005622;0.054245;0.235787;0.491879;0.919742;0.007219;0.051979;0.157981;0.380438;0.637147;0.000818;0.006527;0.021417;0.053065;0.103337
0.004673;0.037410;0.124142;0.295988;0.583698;0.004731;0.038909;0.140949;0.295989;0.582159;0.000849;0.006180;0.021162;0.051127;0.103732
0.004689;0.036951;0.125586;0.297070;0.579931;0.004749;0.037480;0.128244;0.297466;0.579295;0.000824;0.006620;0.023816;0.058957;0.102956
0.004638;0.037182;0.125853;0.295395;0.574049;0.004638;0.037259;0.127192;0.297765;0.580618;0.000740;0.006197;0.022150;0.052220;0.103356
0.004696;0.037060;0.123495;0.292471;0.575187;0.004717;0.037021;0.123705;0.293139;0.586053;0.000808;0.010264;0.033052;0.091328;0.125240
