naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500
0.010280;0.045578;0.174791;0.392963;0.918212;0.004700;0.037142;0.126109;0.297775;0.594719;0.000748;0.006323;0.021328;0.052312;0.103543
0.004996;0.043024;0.157769;0.388781;0.918123;0.005054;0.038892;0.124603;0.296872;0.585831;0.000732;0.006251;0.021567;0.050773;0.101344
0.004912;0.044454;0.157418;0.390834;0.900695;0.005218;0.039159;0.126036;0.298894;0.587875;0.000734;0.006516;0.021537;0.051694;0.107156
0.004682;0.042925;0.156485;0.395152;0.918871;0.004678;0.036910;0.124313;0.298489;0.580344;0.000739;0.006511;0.021599;0.051056;0.104433
0.004730;0.041787;0.161371;0.401884;0.911875;0.004689;0.037506;0.126470;0.295967;0.584149;0.000777;0.006302;0.021468;0.051367;0.105425
0.004694;0.042055;0.157910;0.385532;0.914145;0.004756;0.037554;0.126755;0.298315;0.582774;0.000740;0.006434;0.021290;0.052047;0.104353
0.004774;0.042696;0.163576;0.371920;0.865621;0.004780;0.037548;0.127736;0.296838;0.580937;0.000742;0.006298;0.022238;0.051516;0.105558
0.004703;0.042523;0.158710;0.384723;0.869356;0.004615;0.037186;0.124960;0.297385;0.585124;0.000734;0.006306;0.021475;0.051371;0.103682
0.004686;0.042004;0.158685;0.379049;0.908453;0.004717;0.037023;0.124234;0.296096;0.585393;0.000733;0.006314;0.021242;0.051600;0.103103
0.004649;0.042232;0.158609;0.387856;0.912638;0.004754;0.037104;0.127708;0.296377;0.582413;0.000734;0.006413;0.021267;0.052083;0.105875
