naive100;naive200;naive300;naive400;naive500;better100;better200;better300;better400;better500;blas100;blas200;blas300;blas400;blas500
0.002985;0.016359;0.070132;0.221917;0.416160;0.000793;0.006036;0.020340;0.048425;0.095200;0.000749;0.006240;0.022085;0.050255;0.105100
0.001208;0.011692;0.069331;0.203071;0.419400;0.000779;0.006028;0.020409;0.049649;0.094978;0.000741;0.006205;0.021509;0.050327;0.105491
0.001222;0.011559;0.068445;0.204953;0.419112;0.000841;0.006583;0.020798;0.049935;0.095414;0.000757;0.006400;0.021518;0.050939;0.105090
0.001221;0.011753;0.068448;0.203208;0.454639;0.001788;0.013032;0.044925;0.065528;0.096409;0.000733;0.006262;0.021316;0.050279;0.106327
0.001210;0.011606;0.068509;0.205718;0.415300;0.000781;0.006110;0.020341;0.048267;0.095241;0.000732;0.006455;0.022391;0.050721;0.104683
0.001245;0.011890;0.068554;0.205809;0.419191;0.000784;0.006166;0.020253;0.048396;0.096366;0.000779;0.006296;0.021377;0.050384;0.107137
0.001208;0.011824;0.069065;0.205122;0.417966;0.000779;0.006113;0.020433;0.048204;0.094850;0.000732;0.006458;0.021159;0.050505;0.105905
0.001205;0.011971;0.069617;0.204337;0.429003;0.000960;0.006229;0.021516;0.051205;0.115719;0.000864;0.007319;0.022610;0.054148;0.141356
0.002337;0.021846;0.087713;0.207415;0.454358;0.000779;0.006045;0.020390;0.048396;0.100018;0.001082;0.006830;0.021825;0.050124;0.102671
0.001201;0.011640;0.068148;0.204539;0.415084;0.000846;0.006181;0.020539;0.048840;0.096197;0.000733;0.006220;0.021293;0.050574;0.111333
