repeat,time,size,type
1,0.005501,2000,2
2,0.004784,2000,2
3,0.005102,2000,2
4,0.005014,2000,2
5,0.004691,2000,2
6,0.004693,2000,2
7,0.004980,2000,2
8,0.004797,2000,2
9,0.004993,2000,2
10,0.004729,2000,2
1,0.020687,4000,2
2,0.019291,4000,2
3,0.020707,4000,2
4,0.019645,4000,2
5,0.020165,4000,2
6,0.019763,4000,2
7,0.019674,4000,2
8,0.020668,4000,2
9,0.021347,4000,2
10,0.020566,4000,2
1,0.045078,6000,2
2,0.045436,6000,2
3,0.045930,6000,2
4,0.050645,6000,2
5,0.051174,6000,2
6,0.045961,6000,2
7,0.046544,6000,2
8,0.044525,6000,2
9,0.051625,6000,2
10,0.049209,6000,2
1,0.090608,8000,2
2,0.090604,8000,2
3,0.083228,8000,2
4,0.089902,8000,2
5,0.084880,8000,2
6,0.080013,8000,2
7,0.081955,8000,2
8,0.086323,8000,2
9,0.081490,8000,2
10,0.082033,8000,2
1,0.124760,10000,2
2,0.127351,10000,2
3,0.134084,10000,2
4,0.129126,10000,2
5,0.128160,10000,2
6,0.125875,10000,2
7,0.128162,10000,2
8,0.131777,10000,2
9,0.127853,10000,2
10,0.128042,10000,2
1,0.013480,10000000,1
2,0.013078,10000000,1
3,0.014787,10000000,1
4,0.013127,10000000,1
5,0.013504,10000000,1
6,0.012848,10000000,1
7,0.013593,10000000,1
8,0.013565,10000000,1
9,0.013769,10000000,1
10,0.013504,10000000,1
1,0.026426,20000000,1
2,0.026694,20000000,1
3,0.026420,20000000,1
4,0.026590,20000000,1
5,0.027236,20000000,1
6,0.027050,20000000,1
7,0.027086,20000000,1
8,0.026415,20000000,1
9,0.027032,20000000,1
10,0.027809,20000000,1
1,0.041792,30000000,1
2,0.041196,30000000,1
3,0.044464,30000000,1
4,0.040258,30000000,1
5,0.039308,30000000,1
6,0.041470,30000000,1
7,0.039619,30000000,1
8,0.040839,30000000,1
9,0.040246,30000000,1
10,0.042736,30000000,1
1,0.053225,40000000,1
2,0.054105,40000000,1
3,0.053808,40000000,1
4,0.054664,40000000,1
5,0.053871,40000000,1
6,0.054025,40000000,1
7,0.053482,40000000,1
8,0.053168,40000000,1
9,0.053555,40000000,1
10,0.052971,40000000,1
1,0.067347,50000000,1
2,0.066210,50000000,1
3,0.066959,50000000,1
4,0.067223,50000000,1
5,0.067356,50000000,1
6,0.066328,50000000,1
7,0.066352,50000000,1
8,0.067573,50000000,1
9,0.067245,50000000,1
10,0.069816,50000000,1
